class,precision,recall,f1-score,support,Category,patch_size,data_type
Non-Forest,0.9804114820746581,0.9821862015057391,0.9812980393768752,24307.0,Overall,1,train_data
Pine,0.8672639787622366,0.8745677635248187,0.8709005581627837,17930.0,Overall,1,train_data
Nut Pine,0.8562405053170224,0.8879767827529021,0.871819921032279,12060.0,Overall,1,train_data
Larch,0.9334021198761843,0.9289581777445856,0.9311748467692884,21424.0,Overall,1,train_data
Mongolian Oak,0.8960701664750713,0.8884667342114151,0.8922522522522522,23688.0,Overall,1,train_data
Oriental Oak,0.8645913966604003,0.8486838534599729,0.8565637753005944,18425.0,Overall,1,train_data
accuracy,0.9067756335183393,0.9067756335183393,0.9067756335183393,0.9067756335183393,Overall,1,train_data
macro avg,0.8996632748609289,0.9018065855332389,0.9006682321490121,117834.0,Overall,1,train_data
weighted avg,0.9068738999887608,0.9067756335183393,0.906776953401325,117834.0,Overall,1,train_data
Conifer,0.9693861723990849,0.980853359489946,0.9750860530652443,50975.0,Conifer vs Broadleaf,1,train_data
Broadleaf,0.9764660493827161,0.9624717765894236,0.9694184111936994,42075.0,Conifer vs Broadleaf,1,train_data
accuracy,0.9725416442772703,0.9725416442772703,0.9725416442772703,0.9725416442772703,Conifer vs Broadleaf,1,train_data
macro avg,0.9729261108909004,0.9716625680396849,0.9722522321294719,93050.0,Conifer vs Broadleaf,1,train_data
weighted avg,0.9725875246192492,0.9725416442772703,0.9725232800212329,93050.0,Conifer vs Broadleaf,1,train_data
Pine,0.911156304474143,0.9153046929722157,0.9132257876652495,17132.0,Conifer,1,train_data
Nut Pine,0.8724236252545825,0.90067283431455,0.886323194703083,11890.0,Conifer,1,train_data
Larch,0.9701667154138637,0.9487533965772036,0.9593405798847943,20977.0,Conifer,1,train_data
accuracy,0.9258585171703434,0.9258585171703434,0.9258585171703434,0.9258585171703434,Conifer,1,train_data
macro avg,0.9179155483808631,0.9215769746213232,0.9196298540843756,49999.0,Conifer,1,train_data
weighted avg,0.9267032120995344,0.9258585171703434,0.9261756099830806,49999.0,Conifer,1,train_data
Mongolian Oak,0.9187584581132405,0.9151230541786243,0.9169371528155975,22998.0,Broadleaf,1,train_data
Oriental Oak,0.8890215475581329,0.8936449879986285,0.8913272722090803,17498.0,Broadleaf,1,train_data
accuracy,0.9058425523508494,0.9058425523508494,0.9058425523508494,0.9058425523508494,Broadleaf,1,train_data
macro avg,0.9038900028356867,0.9043840210886264,0.9041322125123389,40496.0,Broadleaf,1,train_data
weighted avg,0.9059093752187998,0.9058425523508494,0.9058713267870308,40496.0,Broadleaf,1,train_data
Non-Forest,0.9589689637033141,0.9597262437483548,0.9593474542823314,3799.0,Overall,1,validation
Pine,0.7903622356990657,0.8153533987149137,0.8026633374947981,5914.0,Overall,1,validation
Nut Pine,0.9007588156524327,0.8434104207300084,0.8711418087632204,7178.0,Overall,1,validation
Larch,0.9244701823558403,0.9564053537284894,0.9401666562245473,7845.0,Overall,1,validation
Mongolian Oak,0.7135156455429924,0.8597908745247148,0.7798534272165542,6312.0,Overall,1,validation
Oriental Oak,0.7997938144329897,0.6309368900455433,0.7054009819967269,6148.0,Overall,1,validation
accuracy,0.8423217550274223,0.8423217550274223,0.8423217550274223,0.8423217550274223,Overall,1,validation
macro avg,0.8479782762311058,0.8442705302486707,0.8430956109963629,37196.0,Overall,1,validation
weighted avg,0.8456899623660954,0.8423217550274223,0.8409349217134519,37196.0,Overall,1,validation
Conifer,0.9637149028077754,0.9656150812734443,0.9646640563069016,20794.0,Conifer vs Broadleaf,1,validation
Broadleaf,0.9423665968079962,0.9392624728850325,0.940811974409528,12447.0,Conifer vs Broadleaf,1,validation
accuracy,0.9557474203543816,0.9557474203543816,0.9557474203543816,0.9557474203543816,Conifer vs Broadleaf,1,validation
macro avg,0.9530407498078858,0.9524387770792384,0.9527380153582148,33241.0,Conifer vs Broadleaf,1,validation
weighted avg,0.9557210890001507,0.9557474203543816,0.955732710577934,33241.0,Conifer vs Broadleaf,1,validation
Pine,0.8355570958239473,0.8932938125231568,0.8634613662816725,5398.0,Conifer,1,validation
Nut Pine,0.9157464831341703,0.8663423010875787,0.8903595852636224,6988.0,Conifer,1,validation
Larch,0.9747953748213589,0.975302222799948,0.9750487329434697,7693.0,Conifer,1,validation
accuracy,0.9153344290054286,0.9153344290054286,0.9153344290054286,0.9153344290054286,Conifer,1,validation
macro avg,0.9086996512598254,0.9116461121368945,0.9096232281629214,20079.0,Conifer,1,validation
weighted avg,0.9168123136560568,0.9153344290054286,0.9155758324391042,20079.0,Conifer,1,validation
Mongolian Oak,0.7587026422480079,0.8917186986526454,0.8198504418762748,6086.0,Broadleaf,1,validation
Oriental Oak,0.8547818422212429,0.6920606601248885,0.7648624667258208,5605.0,Broadleaf,1,validation
accuracy,0.7959969207082371,0.7959969207082371,0.7959969207082371,0.7959969207082371,Broadleaf,1,validation
macro avg,0.8067422422346253,0.791889679388767,0.7923564543010477,11691.0,Broadleaf,1,validation
weighted avg,0.8047657605313011,0.7959969207082371,0.79348763281646,11691.0,Broadleaf,1,validation
Non-Forest,0.9701858855717389,0.9920187600279755,0.980980858810846,24307.0,Overall,3,train_data
Pine,0.8818227064093347,0.8893474623535973,0.8855691000472051,17930.0,Overall,3,train_data
Nut Pine,0.8356474714995615,0.9481757877280266,0.8883623368551895,12060.0,Overall,3,train_data
Larch,0.9780799255544641,0.8830750560119492,0.9281526725047219,21424.0,Overall,3,train_data
Mongolian Oak,0.9536129748515711,0.8340087808172915,0.8898097061141763,23688.0,Overall,3,train_data
Oriental Oak,0.8082068737294946,0.9278697421981004,0.8639142958209106,18425.0,Overall,3,train_data
accuracy,0.9103060237282957,0.9103060237282957,0.9103060237282957,0.9103060237282957,Overall,3,train_data
macro avg,0.9045926396026941,0.9124159315228234,0.9061314950255083,117834.0,Overall,3,train_data
weighted avg,0.9157465423784742,0.9103060237282957,0.9107454686772006,117834.0,Overall,3,train_data
Conifer,0.9745300419920725,0.9780998897116748,0.9763117026086614,50776.0,Conifer vs Broadleaf,3,train_data
Broadleaf,0.9734123947972456,0.9691025946203284,0.9712527136961138,42010.0,Conifer vs Broadleaf,3,train_data
accuracy,0.9740262539607268,0.9740262539607268,0.9740262539607268,0.9740262539607268,Conifer vs Broadleaf,3,train_data
macro avg,0.973971218394659,0.9736012421660016,0.9737822081523876,92786.0,Conifer vs Broadleaf,3,train_data
weighted avg,0.9740240135108935,0.9740262539607268,0.9740211833038511,92786.0,Conifer vs Broadleaf,3,train_data
Pine,0.9377793460362268,0.9237096680762324,0.930691335687396,17263.0,Conifer,3,train_data
Nut Pine,0.848293768545994,0.9599563465413029,0.9006773787019533,11912.0,Conifer,3,train_data
Larch,0.9863920750782065,0.9233735174971937,0.9538430512490862,20489.0,Conifer,3,train_data
accuracy,0.9322648195876289,0.9322648195876289,0.9322648195876289,0.9322648195876289,Conifer,3,train_data
macro avg,0.9241550632201424,0.9356798440382431,0.9284039218794785,49664.0,Conifer,3,train_data
weighted avg,0.9363713645260276,0.9322648195876289,0.9330437286588216,49664.0,Conifer,3,train_data
Mongolian Oak,0.9654970188642361,0.8623308598865125,0.9110024900857695,22910.0,Broadleaf,3,train_data
Oriental Oak,0.844246913580247,0.960341534659027,0.8985598654472826,17802.0,Broadleaf,3,train_data
accuracy,0.9051876596580861,0.9051876596580861,0.9051876596580861,0.9051876596580861,Broadleaf,3,train_data
macro avg,0.9048719662222415,0.9113361972727698,0.904781177766526,40712.0,Broadleaf,3,train_data
weighted avg,0.9124783910821185,0.9051876596580861,0.9055617452485141,40712.0,Broadleaf,3,train_data
Non-Forest,0.9310258339603712,0.9770992366412213,0.9535062933470331,3799.0,Overall,3,validation
Pine,0.7835018963337548,0.838349678728441,0.8099983662800196,5914.0,Overall,3,validation
Nut Pine,0.901392277881441,0.8748955140707718,0.8879462707670555,7178.0,Overall,3,validation
Larch,0.9768418201516793,0.9194391332058636,0.9472716527677457,7845.0,Overall,3,validation
Mongolian Oak,0.8012618296529969,0.8048162230671736,0.8030350932658867,6312.0,Overall,3,validation
Oriental Oak,0.7655896607431341,0.7708197787898503,0.7681958177986707,6148.0,Overall,3,validation
accuracy,0.8598236369502097,0.8598236369502097,0.8598236369502097,0.8598236369502097,Overall,3,validation
macro avg,0.8599355531205629,0.864236594083887,0.8616589157044019,37196.0,Overall,3,validation
weighted avg,0.8621498309193109,0.8598236369502097,0.8605589469473818,37196.0,Overall,3,validation
Conifer,0.9708234381815538,0.9664206107975105,0.9686170212765958,20727.0,Conifer vs Broadleaf,3,validation
Broadleaf,0.9442709584434302,0.9514320290439694,0.9478379681723196,12395.0,Conifer vs Broadleaf,3,validation
accuracy,0.9608115451965461,0.9608115451965461,0.9608115451965461,0.9608115451965461,Conifer vs Broadleaf,3,validation
macro avg,0.957547198312492,0.95892631992074,0.9582274947244577,33122.0,Conifer vs Broadleaf,3,validation
weighted avg,0.9608869009448519,0.9608115451965461,0.9608410305988739,33122.0,Conifer vs Broadleaf,3,validation
Pine,0.8431972789115646,0.9108947271725152,0.8757396449704142,5443.0,Conifer,3,validation
