class,precision,recall,f1-score,support,Category,dataset
Non-Forest,0.9641269841269842,0.9656597774244833,0.9648927720413026,3145.0,Overall,0
Pine,0.8010819808572618,0.859566867604376,0.8292945611200861,4479.0,Overall,0
Nut Pine,0.8712544438801422,0.8335762876579204,0.8519990067047429,4116.0,Overall,0
Larch,0.9456022606852702,0.9283856424484134,0.9369148656925366,5767.0,Overall,0
Mongolian Oak,0.7741890183962926,0.8794066039240708,0.8234503360716953,6269.0,Overall,0
Oriental Oak,0.871580547112462,0.7442011354420114,0.8028698923790358,6165.0,Overall,0
accuracy,0.860792892688955,0.860792892688955,0.860792892688955,0.860792892688955,Overall,0
macro avg,0.8713058725097355,0.8684660524168794,0.8682369056682333,29941.0,Overall,0
weighted avg,0.8645764040945976,0.860792892688955,0.8607233256311598,29941.0,Overall,0
Conifer,0.9659464373120761,0.9686557744898675,0.9672992087388839,14261.0,Conifer vs Broadleaf,0
Broadleaf,0.9638992085285091,0.9607953630655289,0.9623447830995001,12422.0,Conifer vs Broadleaf,0
accuracy,0.9649964396806956,0.9649964396806956,0.9649964396806956,0.9649964396806956,Conifer vs Broadleaf,0
macro avg,0.9649228229202926,0.9647255687776982,0.9648219959191919,26683.0,Conifer vs Broadleaf,0
weighted avg,0.9649933707172602,0.9649964396806956,0.9649927261360122,26683.0,Conifer vs Broadleaf,0
Pine,0.8566978193146417,0.9160123721151558,0.8853627687708405,4203.0,Conifer,0
Nut Pine,0.9031324032640169,0.8475790513833992,0.8744743213967121,4048.0,Conifer,0
Larch,0.9697518565477269,0.9624303433399245,0.9660772284373872,5563.0,Conifer,0
accuracy,0.9146518025191834,0.9146518025191834,0.9146518025191834,0.9146518025191834,Conifer,0
macro avg,0.9098606930421286,0.9086739222794932,0.9086381062016465,13814.0,Conifer,0
weighted avg,0.9158325235968716,0.9146518025191834,0.914676371214342,13814.0,Conifer,0
Mongolian Oak,0.8118097481961419,0.9083868841654309,0.8573872472783826,6069.0,Broadleaf,0
Oriental Oak,0.8919129082426127,0.7821343334469826,0.8334241598546775,5866.0,Broadleaf,0
accuracy,0.8463343108504399,0.8463343108504399,0.8463343108504399,0.8463343108504399,Broadleaf,0
macro avg,0.8518613282193773,0.8452606088062067,0.8454057035665301,11935.0,Broadleaf,0
weighted avg,0.8511800989990407,0.8463343108504399,0.845609495219107,11935.0,Broadleaf,0
Non-Forest,0.957917649192817,0.9885810557843504,0.9730078304928604,5342.0,Overall,1
Pine,0.8545373665480427,0.875968992248062,0.8651204683629813,4386.0,Overall,1
Nut Pine,0.8449367088607594,0.7007874015748031,0.7661406025824964,1905.0,Overall,1
Larch,0.8892835997631735,0.8806801524479625,0.8849609662689645,3411.0,Overall,1
Mongolian Oak,0.845460103943748,0.8919529108208354,0.8680844385152633,6201.0,Overall,1
Oriental Oak,0.8019718309859155,0.7464604090194022,0.7732210755024443,3814.0,Overall,1
accuracy,0.8715431581467736,0.8715431581467736,0.8715431581467736,0.8715431581467736,Overall,1
macro avg,0.8656845432157428,0.8474051536492359,0.8550892302875018,25059.0,Overall,1
weighted avg,0.8703286814627533,0.8715431581467736,0.8700420086114954,25059.0,Overall,1
Conifer,0.9651508712282193,0.9492163009404389,0.9571172689916764,9570.0,Conifer vs Broadleaf,1
Broadleaf,0.951752208875211,0.9669188098840141,0.9592755653392036,9915.0,Conifer vs Broadleaf,1
accuracy,0.9582242750833975,0.9582242750833975,0.9582242750833975,0.9582242750833975,Conifer vs Broadleaf,1
macro avg,0.9584515400517151,0.9580675554122264,0.95819641716544,19485.0,Conifer vs Broadleaf,1
weighted avg,0.95833292217869,0.9582242750833975,0.9582155244849139,19485.0,Conifer vs Broadleaf,1
Pine,0.8995551393116367,0.9437484647506755,0.9211220330855909,4071.0,Conifer,1
Nut Pine,0.8759842519685039,0.7458100558659218,0.8056729028364514,1790.0,Conifer,1
