class,precision,recall,f1-score,support,Category,dataset
Non-Forest,0.9592105263157895,0.9271860095389507,0.9429264349232013,3145.0,Overall,0
Pine,0.7675759591927257,0.7727171243581157,0.7701379617267468,4479.0,Overall,0
Nut Pine,0.7738682205289108,0.8389212827988338,0.805082769876428,4116.0,Overall,0
Larch,0.938475499092559,0.8966533726374198,0.9170878779817327,5767.0,Overall,0
Mongolian Oak,0.6439475898545498,0.8545222523528473,0.7344392651494379,6269.0,Overall,0
Oriental Oak,0.7837112899292855,0.5213300892133009,0.6261445548412234,6165.0,Overall,0
accuracy,0.7872816539193748,0.7872816539193748,0.7872816539193748,0.7872816539193748,Overall,0
macro avg,0.8111315141523034,0.8018883551499112,0.7993031440831283,29941.0,Overall,0
weighted avg,0.7989247910445001,0.7872816539193748,0.7842723681693186,29941.0,Overall,0
Conifer,0.9570028011204482,0.9546629409710095,0.9558314390627732,14315.0,Conifer vs Broadleaf,0
Broadleaf,0.9476275016139445,0.950311564295541,0.9489676350559618,12357.0,Conifer vs Broadleaf,0
accuracy,0.9526469706058788,0.9526469706058788,0.9526469706058788,0.9526469706058788,Conifer vs Broadleaf,0
macro avg,0.9523151513671964,0.9524872526332753,0.9523995370593675,26672.0,Conifer vs Broadleaf,0
weighted avg,0.9526592732259571,0.9526469706058788,0.9526514740765643,26672.0,Conifer vs Broadleaf,0
Pine,0.8520433284096505,0.8103488644345587,0.8306732269290772,4271.0,Conifer,0
Nut Pine,0.8071528751753155,0.8617419515847268,0.8335546167773084,4007.0,Conifer,0
Larch,0.9708974840405558,0.9597253155159614,0.9652790741086429,5388.0,Conifer,0
accuracy,0.8843114298258452,0.8843114298258452,0.8843114298258452,0.8843114298258452,Conifer,0
macro avg,0.8766978958751738,0.8772720438450823,0.8765023059383429,13666.0,Conifer,0
weighted avg,0.8857408364170659,0.8843114298258452,0.8845882008589295,13666.0,Conifer,0
Mongolian Oak,0.6793050976413898,0.8928333333333334,0.771568486245139,6000.0,Broadleaf,0
Oriental Oak,0.8332901218563651,0.5596378199547275,0.6695833333333333,5743.0,Broadleaf,0
accuracy,0.729881631610321,0.729881631610321,0.729881631610321,0.729881631610321,Broadleaf,0
macro avg,0.7562976097488774,0.7262355766440305,0.7205759097892361,11743.0,Broadleaf,0
weighted avg,0.7546125994779395,0.729881631610321,0.7216919016268558,11743.0,Broadleaf,0
Non-Forest,0.963948973932335,0.9760389367278173,0.9699562831364524,5342.0,Overall,1
Pine,0.5956235011990407,0.9060647514819882,0.7187556520166395,4386.0,Overall,1
Nut Pine,0.787740164684355,0.4519685039370079,0.5743829219479654,1905.0,Overall,1
Larch,0.8745773132493083,0.8340662562298446,0.8538415366146459,3411.0,Overall,1
Mongolian Oak,0.8419625246548323,0.5507176261893243,0.665886711514088,6201.0,Overall,1
Oriental Oak,0.5128933566433567,0.6153644467750393,0.5594755661501788,3814.0,Overall,1
accuracy,0.7444830200726286,0.7444830200726286,0.7444830200726286,0.7444830200726286,Overall,1
