class,precision,recall,f1-score,support,Category,dataset
Non-Forest,0.9714933592484613,0.953577106518283,0.9624518613607189,3145.0,Overall,0
Pine,0.8335456475583864,0.8765349408350078,0.8544999455871151,4479.0,Overall,0
Nut Pine,0.8949700286682304,0.8343051506316812,0.8635734942788885,4116.0,Overall,0
Larch,0.9073919572834974,0.9429512744928039,0.9248299319727891,5767.0,Overall,0
Mongolian Oak,0.7726031335345696,0.8573935236879885,0.8127929835173143,6269.0,Overall,0
Oriental Oak,0.8562628336755647,0.7440389294403893,0.7962159347335532,6165.0,Overall,0
accuracy,0.8603253064359908,0.8603253064359908,0.8603253064359908,0.8603253064359908,Overall,0
macro avg,0.8727111599947849,0.8681334876010256,0.8690606919083965,29941.0,Overall,0
weighted avg,0.8626209224688843,0.8603253064359908,0.8598994533150373,29941.0,Overall,0
Conifer,0.9652753663448851,0.9732511728870528,0.9692468619246862,14281.0,Conifer vs Broadleaf,0
Broadleaf,0.968965797384028,0.9597650277621308,0.964343467011643,12427.0,Conifer vs Broadleaf,0
accuracy,0.9669761869102891,0.9669761869102891,0.9669761869102891,0.9669761869102891,Conifer vs Broadleaf,0
macro avg,0.9671205818644566,0.9665081003245918,0.9667951644681646,26708.0,Conifer vs Broadleaf,0
weighted avg,0.9669924917950659,0.9669761869102891,0.9669653549386001,26708.0,Conifer vs Broadleaf,0
Pine,0.8806639748766263,0.9287911048024604,0.9040875071963155,4227.0,Conifer,0
Nut Pine,0.934676102340773,0.8424926398429833,0.8861935483870967,4076.0,Conifer,0
Larch,0.9429512744928039,0.9717655468191565,0.957141599929596,5596.0,Conifer,0
accuracy,0.9207856680336715,0.9207856680336715,0.9207856680336715,0.9207856680336715,Conifer,0
macro avg,0.9194304505700677,0.9143497638215333,0.9158075518376695,13899.0,Conifer,0
weighted avg,0.9215815344273848,0.9207856680336715,0.9202005316462084,13899.0,Conifer,0
Mongolian Oak,0.8074207601021481,0.8872565203037306,0.8454581203303185,6058.0,Broadleaf,0
Oriental Oak,0.8703984819734345,0.7815641506219118,0.8235927821168866,5869.0,Broadleaf,0
accuracy,0.8352477571895699,0.8352477571895699,0.8352477571895699,0.8352477571895699,Broadleaf,0
macro avg,0.8389096210377913,0.8344103354628212,0.8345254512236026,11927.0,Broadleaf,0
weighted avg,0.8384106359856544,0.8352477571895699,0.8346986946596023,11927.0,Broadleaf,0
Non-Forest,0.9526296829971181,0.9900786222388619,0.9709932072700569,5342.0,Overall,1
Pine,0.8576286556336432,0.8625170998632011,0.8600659315675798,4386.0,Overall,1
Nut Pine,0.8059617547806525,0.7522309711286089,0.7781699701330437,1905.0,Overall,1
Larch,0.9016445287792536,0.8358252711814718,0.8674882093412445,3411.0,Overall,1
Mongolian Oak,0.8319176739627573,0.821319142073859,0.8265844356082123,6201.0,Overall,1
Oriental Oak,0.6787307882994547,0.7178814892501311,0.6977573904179408,3814.0,Overall,1
accuracy,0.8454846562113413,0.8454846562113413,0.8454846562113413,0.8454846562113413,Overall,1
macro avg,0.8380855140754799,0.829975432622689,0.8335098573896796,25059.0,Overall,1
weighted avg,0.8463535816880211,0.8454846562113413,0.8455089084368503,25059.0,Overall,1
Conifer,0.9596653078738469,0.9384244204342809,0.948926014319809,9533.0,Conifer vs Broadleaf,1
Broadleaf,0.9420647453612317,0.9621005946981152,0.9519772602603102,9921.0,Conifer vs Broadleaf,1
accuracy,0.9504986121106199,0.9504986121106199,0.9504986121106199,0.9504986121106199,Conifer vs Broadleaf,1
macro avg,0.9508650266175394,0.950262507566198,0.9504516372900595,19454.0,Conifer vs Broadleaf,1
weighted avg,0.9506895095450889,0.9504986121106199,0.9504820650536279,19454.0,Conifer vs Broadleaf,1
Pine,0.9177583697234353,0.9303984259714707,0.9240351734245237,4066.0,Conifer,1
Nut Pine,0.8380116959064328,0.8028011204481793,0.8200286123032904,1785.0,Conifer,1
Larch,0.9155427103403982,0.9211631663974151,0.9183443388629409,3095.0,Conifer,1
accuracy,0.9017437961099933,0.9017437961099933,0.9017437961099933,0.9017437961099933,Conifer,1
macro avg,0.8904375919900888,0.8847875709390216,0.8874693748635849,8946.0,Conifer,1
weighted avg,0.9010799348303156,0.9017437961099933,0.9013138628310181,8946.0,Conifer,1
Mongolian Oak,0.8636594878751908,0.8484091287689488,0.8559663865546219,6003.0,Broadleaf,1
Oriental Oak,0.7505482456140351,0.7730095990965556,0.7616133518776078,3542.0,Broadleaf,1
accuracy,0.8204295442640126,0.8204295442640126,0.8204295442640126,0.8204295442640126,Broadleaf,1
macro avg,0.8071038667446129,0.8107093639327523,0.8087898692161148,9545.0,Broadleaf,1
weighted avg,0.8216856774939426,0.8204295442640126,0.8209534532045973,9545.0,Broadleaf,1
Non-Forest,0.9775022143489814,0.9743951968921066,0.9759462327555712,5663.0,Overall,2
Pine,0.7828082620488211,0.8041148735533648,0.7933185326144413,4666.0,Overall,2
Nut Pine,0.8716370669949006,0.9196660482374768,0.8950076735578225,5390.0,Overall,2
Larch,0.9499234303215927,0.9435655613020992,0.9467338217338217,6574.0,Overall,2
Mongolian Oak,0.8081376648440013,0.78515625,0.7964812173086068,6400.0,Overall,2
Oriental Oak,0.7584269662921348,0.7310469314079422,0.7444852941176471,4986.0,Overall,2
accuracy,0.8640399061729861,0.8640399061729861,0.8640399061729861,0.8640399061729861,Overall,2
macro avg,0.8580726008084053,0.8596574768988315,0.8586621286813183,33679.0,Overall,2
weighted avg,0.863585519806079,0.8640399061729861,0.8636185979712657,33679.0,Overall,2
Conifer,0.9494877716586724,0.969876602951851,0.9595738950896197,16532.0,Conifer vs Broadleaf,2
Broadleaf,0.9547355026358844,0.9248921370080126,0.9395769041549265,11357.0,Conifer vs Broadleaf,2
accuracy,0.9515579619204705,0.9515579619204705,0.9515579619204705,0.9515579619204705,Conifer vs Broadleaf,2
macro avg,0.9521116371472784,0.9473843699799318,0.9495753996222731,27889.0,Conifer vs Broadleaf,2
weighted avg,0.951624760461003,0.9515579619204705,0.9514306907421956,27889.0,Conifer vs Broadleaf,2
Pine,0.8965352449223417,0.8950381679389313,0.895786080935896,4192.0,Conifer,2
Nut Pine,0.9016005820298291,0.9260227909583412,0.9136485116579117,5353.0,Conifer,2
Larch,0.9766965832152417,0.9559254122360918,0.9661993769470405,6489.0,Conifer,2
accuracy,0.9300236996382687,0.9300236996382687,0.9300236996382687,0.9300236996382687,Conifer,2
macro avg,0.9249441367224708,0.9256621237111213,0.9252113231802829,16034.0,Conifer,2
weighted avg,0.9306678178123883,0.9300236996382687,0.9302459455655122,16034.0,Conifer,2
Mongolian Oak,0.8452481076534903,0.8461020373800303,0.8456748569505217,5939.0,Broadleaf,2
Oriental Oak,0.7995174380346567,0.7984665936473165,0.798991670320035,4565.0,Broadleaf,2
accuracy,0.8253998476770754,0.8253998476770754,0.8253998476770754,0.8253998476770754,Broadleaf,2
macro avg,0.8223827728440736,0.8222843155136734,0.8223332636352784,10504.0,Broadleaf,2
weighted avg,0.8253737258170494,0.8253998476770754,0.8253865147029806,10504.0,Broadleaf,2
Non-Forest,0.9533422459893048,0.9820961300096406,0.967505596635235,7261.0,Overall,3
Pine,0.8332201086956522,0.8489358020418758,0.8410045427273507,5779.0,Overall,3
Nut Pine,0.9390883420734167,0.6867256637168142,0.7933208383029476,3390.0,Overall,3
Larch,0.9223573433115061,0.9403013541865344,0.9312429165092557,5243.0,Overall,3
Mongolian Oak,0.819081908190819,0.8041710851891127,0.811558013020601,5658.0,Overall,3
Oriental Oak,0.7377609108159393,0.8297055057618438,0.7810365608678184,4686.0,Overall,3
accuracy,0.8661960833307305,0.8661960833307305,0.8661960833307305,0.8661960833307305,Overall,3
macro avg,0.8674751431794396,0.8486559234843035,0.8542780780105348,32017.0,Overall,3
weighted avg,0.8697985180222622,0.8661960833307305,0.8654408659334722,32017.0,Overall,3
Conifer,0.9766008948874055,0.940519920881605,0.958220878764979,14156.0,Conifer vs Broadleaf,3
Broadleaf,0.9218488954891405,0.9688810847722173,0.9447800237812128,10251.0,Conifer vs Broadleaf,3
accuracy,0.9524316794362273,0.9524316794362273,0.9524316794362273,0.9524316794362273,Conifer vs Broadleaf,3
macro avg,0.949224895188273,0.9547005028269111,0.9515004512730959,24407.0,Conifer vs Broadleaf,3
weighted avg,0.9536049205426842,0.9524316794362273,0.9525756866299937,24407.0,Conifer vs Broadleaf,3
Pine,0.8661723163841808,0.9585775693630324,0.9100352439250603,5118.0,Conifer,3
Nut Pine,0.941747572815534,0.7437699680511182,0.8311317386647625,3130.0,Conifer,3
Larch,0.9521050598686752,0.9731543624161074,0.9625146427176884,5066.0,Conifer,3
accuracy,0.9136247558960493,0.9136247558960493,0.9136247558960493,0.9136247558960493,Conifer,3
macro avg,0.92000831635613,0.891833966610086,0.901227208435837,13314.0,Conifer,3
weighted avg,0.9166369274043539,0.9136247558960493,0.9114542511970087,13314.0,Conifer,3
Mongolian Oak,0.8900625978090767,0.8299890550893835,0.8589767793090428,5482.0,Broadleaf,3
