class,precision,recall,f1-score,support,Category,patch_size,data_type
Non-Forest,0.9776020534901052,0.9714485539145102,0.9745155898557604,24307.0,Overall,1,train_data
Pine,0.8195082134476074,0.8959286112660346,0.8560161995097517,17930.0,Overall,1,train_data
Nut Pine,0.8651230848683078,0.8334162520729685,0.8489737308894332,12060.0,Overall,1,train_data
Larch,0.9210550756942509,0.9257841672890217,0.9234135667396061,21424.0,Overall,1,train_data
Mongolian Oak,0.9058693244739756,0.828774062816616,0.8656084656084655,23688.0,Overall,1,train_data
Oriental Oak,0.8215955126207541,0.858561736770692,0.8396719658165027,18425.0,Overall,1,train_data
accuracy,0.8911943921109358,0.8911943921109358,0.8911943921109358,0.8911943921109358,Overall,1,train_data
macro avg,0.8851255440991669,0.8856522306883073,0.8846999197365867,117834.0,Overall,1,train_data
weighted avg,0.8929388258453583,0.8911943921109358,0.8913662071362431,117834.0,Overall,1,train_data
Conifer,0.9587265731186707,0.9830598304020101,0.9707407371512197,50944.0,Conifer vs Broadleaf,1,train_data
Broadleaf,0.978821566173403,0.9487179487179487,0.9635346837216606,42042.0,Conifer vs Broadleaf,1,train_data
accuracy,0.9675327468651195,0.9675327468651195,0.9675327468651195,0.9675327468651195,Conifer vs Broadleaf,1,train_data
macro avg,0.9687740696460369,0.9658888895599793,0.9671377104364401,92986.0,Conifer vs Broadleaf,1,train_data
weighted avg,0.9678121741554617,0.9675327468651195,0.9674826456289956,92986.0,Conifer vs Broadleaf,1,train_data
Pine,0.8783902012248469,0.9324355700023218,0.9046063745917333,17228.0,Conifer,1,train_data
Nut Pine,0.8920741989881956,0.8444089725279341,0.8675873974967631,11903.0,Conifer,1,train_data
Larch,0.9662866608204229,0.9467303102625299,0.9564085254122867,20950.0,Conifer,1,train_data
accuracy,0.917493660270362,0.917493660270362,0.917493660270362,0.917493660270362,Conifer,1,train_data
macro avg,0.9122503536778218,0.907858284264262,0.9095340991669277,50081.0,Conifer,1,train_data
weighted avg,0.918411595643977,0.917493660270362,0.9174778862494312,50081.0,Conifer,1,train_data
Mongolian Oak,0.9258193822211742,0.8727660709522539,0.8985102633927549,22494.0,Broadleaf,1,train_data
Oriental Oak,0.846796210052995,0.9095561177552898,0.8770548609763535,17392.0,Broadleaf,1,train_data
accuracy,0.8888081030938174,0.8888081030938174,0.8888081030938174,0.8888081030938174,Broadleaf,1,train_data
macro avg,0.8863077961370847,0.8911610943537718,0.8877825621845542,39886.0,Broadleaf,1,train_data
weighted avg,0.8913619031470889,0.8888081030938174,0.8891547913267153,39886.0,Broadleaf,1,train_data
Non-Forest,0.9626687847498014,0.9570939720979205,0.9598732840549103,3799.0,Overall,1,validation
Pine,0.745697896749522,0.8572877916807575,0.797608746951939,5914.0,Overall,1,validation
Nut Pine,0.917696761070255,0.8170799665645027,0.864470484191908,7178.0,Overall,1,validation
Larch,0.9243062438057482,0.9510516252390058,0.9374882201419865,7845.0,Overall,1,validation
Mongolian Oak,0.7647668393782383,0.8184410646387833,0.7906941149460474,6312.0,Overall,1,validation
Oriental Oak,0.7954461310625695,0.6989264801561483,0.7440692640692641,6148.0,Overall,1,validation
accuracy,0.8467308312721799,0.8467308312721799,0.8467308312721799,0.8467308312721799,Overall,1,validation
macro avg,0.8517637761360225,0.8499801500628529,0.8490340190593425,37196.0,Overall,1,validation
weighted avg,0.8501789711847422,0.8467308312721799,0.8465636102586046,37196.0,Overall,1,validation
Conifer,0.956507351203139,0.9722262265148239,0.9643027356782004,20811.0,Conifer vs Broadleaf,1,validation
Broadleaf,0.9522432454763282,0.9260747288067497,0.9389766987127262,12445.0,Conifer vs Broadleaf,1,validation
accuracy,0.9549554967524657,0.9549554967524657,0.9549554967524657,0.9549554967524657,Conifer vs Broadleaf,1,validation
macro avg,0.9543752983397336,0.9491504776607869,0.9516397171954633,33256.0,Conifer vs Broadleaf,1,validation
weighted avg,0.9549116452923211,0.9549554967524657,0.9548252720615499,33256.0,Conifer vs Broadleaf,1,validation
Pine,0.7966687617850409,0.9261965655827549,0.8565636087176889,5474.0,Conifer,1,validation
Nut Pine,0.9399038461538461,0.8295615275813296,0.8812922614575507,7070.0,Conifer,1,validation
Larch,0.9779787652379079,0.9703472493172064,0.9741480611045829,7689.0,Conifer,1,validation
accuracy,0.9092077299461276,0.9092077299461276,0.9092077299461276,0.9092077299461276,Conifer,1,validation
macro avg,0.9048504577255984,0.908701780827097,0.9040013104266075,20233.0,Conifer,1,validation
weighted avg,0.9156211990428152,0.9092077299461276,0.9098892860405601,20233.0,Conifer,1,validation
Mongolian Oak,0.800185873605948,0.86998989558774,0.8336291754074553,5938.0,Broadleaf,1,validation
Oriental Oak,0.847701716314855,0.7691068551995704,0.8064939939939941,5587.0,Broadleaf,1,validation
accuracy,0.8210845986984816,0.8210845986984816,0.8210845986984816,0.8210845986984816,Broadleaf,1,validation
macro avg,0.8239437949604015,0.8195483753936552,0.8200615847007247,11525.0,Broadleaf,1,validation
weighted avg,0.8232202348393244,0.8210845986984816,0.8204747928862399,11525.0,Broadleaf,1,validation
Non-Forest,0.9809633689068359,0.9794297938865347,0.9801959815546772,24307.0,Overall,3,train_data
Pine,0.8787809610775026,0.8587841606246515,0.8686674940764978,17930.0,Overall,3,train_data
Nut Pine,0.8730014083340237,0.8737976782752902,0.8733993618167503,12060.0,Overall,3,train_data
Larch,0.9367601980664938,0.9271844660194175,0.9319477351099018,21424.0,Overall,3,train_data
Mongolian Oak,0.9045022308350985,0.8472644376899696,0.8749482311397869,23688.0,Overall,3,train_data
Oriental Oak,0.8016814073282146,0.895359565807327,0.8459349280824552,18425.0,Overall,3,train_data
accuracy,0.901047235942088,0.901047235942088,0.901047235942088,0.901047235942088,Overall,3,train_data
macro avg,0.8959482624246947,0.8969700170505318,0.8958489552966782,117834.0,Overall,3,train_data
weighted avg,0.9029244147026083,0.901047235942088,0.9013714311837348,117834.0,Overall,3,train_data
Conifer,0.9800448297066233,0.9689927041656861,0.9744874310904232,50988.0,Conifer vs Broadleaf,3,train_data
Broadleaf,0.9629325705711338,0.9760914513867434,0.9694673606439353,42077.0,Conifer vs Broadleaf,3,train_data
accuracy,0.972202224251867,0.972202224251867,0.972202224251867,0.972202224251867,Conifer vs Broadleaf,3,train_data
macro avg,0.9714887001388786,0.9725420777762147,0.9719773958671794,93065.0,Conifer vs Broadleaf,3,train_data
weighted avg,0.97230795195834,0.972202224251867,0.9722177324477878,93065.0,Conifer vs Broadleaf,3,train_data
Pine,0.9173666964551683,0.9141534077416291,0.9157572333402718,16844.0,Conifer,3,train_data
Nut Pine,0.8853230278081156,0.8915397631133671,0.8884205201702988,11820.0,Conifer,3,train_data
Larch,0.9587335296105024,0.9576242587860965,0.9581785731513193,20743.0,Conifer,3,train_data
accuracy,0.9269941506264294,0.9269941506264294,0.9269941506264294,0.9269941506264294,Conifer,3,train_data
macro avg,0.9204744179579288,0.9211058098803643,0.92078544222063,49407.0,Conifer,3,train_data
weighted avg,0.9270680759506432,0.9269941506264294,0.9270274157442121,49407.0,Conifer,3,train_data
Mongolian Oak,0.9354898853360679,0.8654592496765847,0.8991129827076426,23190.0,Broadleaf,3,train_data
Oriental Oak,0.8409542743538767,0.9225994071919915,0.8798869273027895,17881.0,Broadleaf,3,train_data
accuracy,0.890336246986925,0.890336246986925,0.890336246986925,0.890336246986925,Broadleaf,3,train_data
macro avg,0.8882220798449723,0.8940293284342882,0.8894999550052161,41071.0,Broadleaf,3,train_data
weighted avg,0.8943321034468379,0.890336246986925,0.890742573009944,41071.0,Broadleaf,3,train_data
Non-Forest,0.9631578947368421,0.9634114240589629,0.9632846427161468,3799.0,Overall,3,validation
Pine,0.8186215235792019,0.8013189042948935,0.8098778091087755,5914.0,Overall,3,validation
Nut Pine,0.9069356501251656,0.858038450821956,0.8818097215262366,7178.0,Overall,3,validation
Larch,0.9356953725885765,0.9459528362014021,0.9407961460446247,7845.0,Overall,3,validation
Mongolian Oak,0.7547584187408491,0.8166983523447402,0.7845076852838228,6312.0,Overall,3,validation
Oriental Oak,0.7502890173410405,0.738939492517892,0.7445710071293943,6148.0,Overall,3,validation
accuracy,0.8516238305194107,0.8516238305194107,0.8516238305194107,0.8516238305194107,Overall,3,validation
macro avg,0.8549096461852792,0.8540599100399744,0.8541411686348335,37196.0,Overall,3,validation
weighted avg,0.8529866341760792,0.8516238305194107,0.8519396367600373,37196.0,Overall,3,validation
Conifer,0.9753877770709987,0.9579048534358482,0.9665672654980968,20810.0,Conifer vs Broadleaf,3,validation
Broadleaf,0.9316692667706709,0.9595886559010203,0.9454228836031188,12447.0,Conifer vs Broadleaf,3,validation
accuracy,0.9585350452536309,0.9585350452536309,0.9585350452536309,0.9585350452536309,Conifer vs Broadleaf,3,validation
macro avg,0.9535285219208347,0.9587467546684343,0.9559950745506078,33257.0,Conifer vs Broadleaf,3,validation
weighted avg,0.9590253782464451,0.9585350452536309,0.9586536196055992,33257.0,Conifer vs Broadleaf,3,validation
Pine,0.8521848588383384,0.8838120104438643,0.8677103359882815,5362.0,Conifer,3,validation
Nut Pine,0.9195282173783219,0.8783513976041073,0.8984682713347921,7012.0,Conifer,3,validation
Larch,0.9669055374592834,0.9816137566137566,0.9742041352149655,7560.0,Conifer,3,validation
accuracy,0.9189826427209792,0.9189826427209792,0.9189826427209792,0.9189826427209792,Conifer,3,validation
macro avg,0.9128728712253146,0.9145923882205761,0.9134609141793465,19934.0,Conifer,3,validation
weighted avg,0.9193816061272272,0.9189826427209792,0.9189177085579345,19934.0,Conifer,3,validation
Mongolian Oak,0.8058464905424417,0.836986523786329,0.8211213762344696,6159.0,Broadleaf,3,validation
Oriental Oak,0.8190012619433928,0.7853068280034572,0.8018002117896224,5785.0,Broadleaf,3,validation
accuracy,0.8119557937039518,0.8119557937039518,0.8119557937039518,0.8119557937039518,Broadleaf,3,validation
macro avg,0.8124238762429172,0.8111466758948931,0.811460794012046,11944.0,Broadleaf,3,validation
weighted avg,0.8122179199257725,0.8119557937039518,0.8117632938237662,11944.0,Broadleaf,3,validation
Non-Forest,0.9844421272158499,0.9796612983563009,0.9820458942725779,24092.0,Overall,5,train_data
Pine,0.8817777289457782,0.9018935775692533,0.8917222222222223,17797.0,Overall,5,train_data
Nut Pine,0.8852997755690927,0.917358803986711,0.9010442160221895,12040.0,Overall,5,train_data
Larch,0.9396231668832374,0.9509205335337216,0.9452380952380952,21292.0,Overall,5,train_data
Mongolian Oak,0.9315993611681497,0.8643522438611346,0.896716811244098,23620.0,Overall,5,train_data
