class,precision,recall,f1-score,support,Category,patch_size,data_type
NF,0.9785011785743315,0.986034892292571,0.982253590078329,24418.0,Overall,1,train_data
PD,0.8756195786864932,0.8900960478664777,0.8827984695869446,19053.0,Overall,1,train_data
PK,0.884654919236417,0.9044437772106291,0.894439907950412,13322.0,Overall,1,train_data
LK,0.9573545355981207,0.925495676478295,0.9411555713460941,22898.0,Overall,1,train_data
QM,0.8968470931292145,0.8303032859492977,0.8622932866060672,23707.0,Overall,1,train_data
QV,0.7996662790109723,0.8758376252976685,0.8360205106517947,18057.0,Overall,1,train_data
accuracy,0.9038409287390391,0.9038409287390391,0.9038409287390391,0.9038409287390391,Overall,1,train_data
macro avg,0.8987739307059247,0.9020352175158232,0.8998268893699404,121455.0,Overall,1,train_data
weighted avg,0.9055553632065416,0.9038409287390391,0.904115478460174,121455.0,Overall,1,train_data
Conifer,0.9716337915193058,0.9715629443289948,0.9715983666326382,54858.0,Conifer vs Broadleaf,1,train_data
Broadleaf,0.9625486147788928,0.962641056422569,0.9625948333813502,41650.0,Conifer vs Broadleaf,1,train_data
accuracy,0.9677125212417623,0.9677125212417623,0.9677125212417623,0.9677125212417623,Conifer vs Broadleaf,1,train_data
macro avg,0.9670912031490992,0.967102000375782,0.9670966000069943,96508.0,Conifer vs Broadleaf,1,train_data
weighted avg,0.967712897798182,0.9677125212417623,0.9677127078280195,96508.0,Conifer vs Broadleaf,1,train_data
Pine,0.9245488742299515,0.9381534546661504,0.9313014827018122,18077.0,Conifer,1,train_data
Nut Pine,0.9054632899977455,0.9189292251372788,0.9121465611870245,13112.0,Conifer,1,train_data
Larch,0.9789356984478935,0.958523678140124,0.9686221633110131,22109.0,Conifer,1,train_data
accuracy,0.9418739915193816,0.9418739915193816,0.9418739915193816,0.9418739915193816,Conifer,1,train_data
macro avg,0.9363159542251968,0.9385354526478511,0.9373567357332834,53298.0,Conifer,1,train_data
weighted avg,0.9424142372113352,0.9418739915193816,0.942070434570305,53298.0,Conifer,1,train_data
Mongolian Oak,0.9313901769660263,0.8622366288492707,0.8954802902440688,22829.0,Broadleaf,1,train_data
Oriental Oak,0.8341244725738397,0.9160150593686649,0.8731538992408557,17265.0,Broadleaf,1,train_data
accuracy,0.8853943233401507,0.8853943233401507,0.8853943233401507,0.8853943233401507,Broadleaf,1,train_data
macro avg,0.882757324769933,0.8891258441089678,0.8843170947424623,40094.0,Broadleaf,1,train_data
weighted avg,0.8895062944317044,0.8853943233401507,0.8858662547108102,40094.0,Broadleaf,1,train_data
NF,0.9406620861961275,0.9504575575891449,0.9455344529901114,3169.0,Overall,1,validation
PD,0.7627633711507293,0.8364807820484337,0.7979230687718555,4501.0,Overall,1,validation
PK,0.8194345450225707,0.8379494655004859,0.8285885885885886,4116.0,Overall,1,validation
LK,0.9352993744414656,0.9020858472677125,0.9183924183924184,5801.0,Overall,1,validation
QM,0.7354124748490946,0.8131256952169077,0.7723190702588484,6293.0,Overall,1,validation
QV,0.7996512303817089,0.6676913120854231,0.7277376124140363,6181.0,Overall,1,validation
accuracy,0.8217624164199461,0.8217624164199461,0.8217624164199461,0.8217624164199461,Overall,1,validation
macro avg,0.8322038470069494,0.8346317766180179,0.831749201902643,30061.0,Overall,1,validation
weighted avg,0.8244308340496822,0.8217624164199461,0.8211392021310976,30061.0,Overall,1,validation
Conifer,0.9486740217912698,0.9698752977441502,0.9591575155021305,14274.0,Conifer vs Broadleaf,1,validation
Broadleaf,0.9644892228920637,0.9397328612809784,0.9519501161511187,12428.0,Conifer vs Broadleaf,1,validation
accuracy,0.9558460040446408,0.9558460040446408,0.9558460040446408,0.9558460040446408,Conifer vs Broadleaf,1,validation
macro avg,0.9565816223416668,0.9548040795125643,0.9555538158266246,26702.0,Conifer vs Broadleaf,1,validation
weighted avg,0.9560349430436355,0.9558460040446408,0.9558029518314551,26702.0,Conifer vs Broadleaf,1,validation
Pine,0.8420934913889511,0.8784414372375176,0.8598835217540254,4286.0,Conifer,1,validation
Nut Pine,0.8568944099378882,0.8476284099287295,0.8522362243637263,4069.0,Conifer,1,validation
Larch,0.9784966342557966,0.9533612679905266,0.965765433237981,5489.0,Conifer,1,validation
accuracy,0.8990898584224213,0.8990898584224213,0.8990898584224213,0.8990898584224213,Conifer,1,validation
macro avg,0.892494845194212,0.8931437050522578,0.8926283931185776,13844.0,Conifer,1,validation
weighted avg,0.9005261545478459,0.8990898584224213,0.8996169051009126,13844.0,Conifer,1,validation
Mongolian Oak,0.7662473794549266,0.8541145050909698,0.8077985634225274,5991.0,Broadleaf,1,validation
Oriental Oak,0.8252349530093981,0.72556258790436,0.7721957152212555,5688.0,Broadleaf,1,validation
accuracy,0.7915061220994948,0.7915061220994948,0.7915061220994948,0.7915061220994948,Broadleaf,1,validation
macro avg,0.7957411662321623,0.7898385464976649,0.7899971393218914,11679.0,Broadleaf,1,validation
weighted avg,0.7949759793674048,0.7915061220994948,0.7904589795053399,11679.0,Broadleaf,1,validation
NF,0.975977182340417,0.9949627324105168,0.9853785159497881,24418.0,Overall,3,train_data
PD,0.9110680222198931,0.9124547315383404,0.9117608496132162,19053.0,Overall,3,train_data
PK,0.9431041257367387,0.9008407146074163,0.9214880792413713,13322.0,Overall,3,train_data
LK,0.9395990294981483,0.9640143243951437,0.9516501045461404,22898.0,Overall,3,train_data
QM,0.9490545975683048,0.865946766777745,0.9055979531518814,23707.0,Overall,3,train_data
QV,0.8581834853038561,0.9329899761865205,0.8940246232222459,18057.0,Overall,3,train_data
accuracy,0.9314643283520645,0.9314643283520645,0.9314643283520645,0.9314643283520645,Overall,3,train_data
macro avg,0.9294977404445596,0.9285348743192805,0.9283166876207739,121455.0,Overall,3,train_data
weighted avg,0.9325628269312988,0.9314643283520645,0.9313088275706175,121455.0,Overall,3,train_data
Conifer,0.9746938627635678,0.9821842542394539,0.9784247229217998,54783.0,Conifer vs Broadleaf,3,train_data
Broadleaf,0.9763307869528314,0.9664634146341463,0.9713720428031993,41656.0,Conifer vs Broadleaf,3,train_data
accuracy,0.9753937722290774,0.9753937722290774,0.9753937722290774,0.9753937722290774,Conifer vs Broadleaf,3,train_data
macro avg,0.9755123248581996,0.9743238344368002,0.9748983828624995,96439.0,Conifer vs Broadleaf,3,train_data
weighted avg,0.9754009181460165,0.9753937722290774,0.9753783781544296,96439.0,Conifer vs Broadleaf,3,train_data
