class,precision,recall,f1-score,support,Category,patch_size,data_type
Non-Forest,0.961417487942965,0.9388565812105824,0.9500031079709094,24418.0,Overall,1,train_data
Pine,0.7212660839350671,0.6972655224898966,0.7090627668659265,19053.0,Overall,1,train_data
Nut Pine,0.7295048199719865,0.6646149226842817,0.6955497073726383,13322.0,Overall,1,train_data
Larch,0.8468414524614003,0.8647043409904795,0.8556796819291688,22898.0,Overall,1,train_data
Mongolian Oak,0.6515187190958324,0.8170160712025983,0.7249419866756494,23707.0,Overall,1,train_data
Oriental Oak,0.6075731497418244,0.46918092706429637,0.5294834536420737,18057.0,Overall,1,train_data
accuracy,0.7632868140463546,0.7632868140463546,0.7632868140463546,0.7632868140463546,Overall,1,train_data
macro avg,0.7530202855248459,0.7419397276070225,0.7441201174093943,121455.0,Overall,1,train_data
weighted avg,0.763608878567594,0.7632868140463546,0.7600633794121042,121455.0,Overall,1,train_data
Conifer,0.9561248695322137,0.9242382550951149,0.9399112006566674,54513.0,Conifer vs Broadleaf,1,train_data
Broadleaf,0.904886923679241,0.9444284203441977,0.9242349399007362,41604.0,Conifer vs Broadleaf,1,train_data
accuracy,0.9329775169845085,0.9329775169845085,0.9329775169845085,0.9329775169845085,Conifer vs Broadleaf,1,train_data
macro avg,0.9305058966057274,0.9343333377196563,0.9320730702787019,96117.0,Conifer vs Broadleaf,1,train_data
weighted avg,0.9339466544478158,0.9329775169845085,0.9331257708940889,96117.0,Conifer vs Broadleaf,1,train_data
Pine,0.7774461610486891,0.7908208821953687,0.7840764895092514,16799.0,Conifer,1,train_data
Nut Pine,0.7461655149165684,0.6960691823899371,0.7202472952086554,12720.0,Conifer,1,train_data
Larch,0.9239815203695926,0.9490030674846626,0.936325160191994,20864.0,Conifer,1,train_data
accuracy,0.832403786991644,0.832403786991644,0.832403786991644,0.832403786991644,Conifer,1,train_data
macro avg,0.8158643987782833,0.8119643773566562,0.8135496483033003,50383.0,Conifer,1,train_data
weighted avg,0.8302303128076307,0.832403786991644,0.8310091634989138,50383.0,Conifer,1,train_data
Mongolian Oak,0.7046347497089639,0.8532223250077089,0.7718424355934568,22701.0,Broadleaf,1,train_data
Oriental Oak,0.7177228058285327,0.5106382978723404,0.5967247754886423,16591.0,Broadleaf,1,train_data
accuracy,0.7085666293393057,0.7085666293393057,0.7085666293393057,0.7085666293393057,Broadleaf,1,train_data
macro avg,0.7111787777687483,0.6819303114400246,0.6842836055410495,39292.0,Broadleaf,1,train_data
weighted avg,0.7101611657498823,0.7085666293393057,0.6978992130850842,39292.0,Broadleaf,1,train_data
Non-Forest,0.9477295001633453,0.9154307352477122,0.9313001605136436,3169.0,Overall,1,validation
Pine,0.6024575352367185,0.7407242834925573,0.6644743398106627,4501.0,Overall,1,validation
Nut Pine,0.7203020621550973,0.6025267249757046,0.6561714512501654,4116.0,Overall,1,validation
