class,precision,recall,f1-score,support,Category,dataset
Non-Forest,0.9586513994910941,0.9583465818759936,0.9584989664493561,3145.0,Overall,0
Pine,0.7410358565737052,0.7890154052243804,0.764273356401384,4479.0,Overall,0
Nut Pine,0.8229706390328152,0.6946064139941691,0.7533596837944664,4116.0,Overall,0
Larch,0.8,0.8697763135078898,0.8334302567084821,5767.0,Overall,0
Mongolian Oak,0.6693737095664143,0.7757218057106396,0.7186345500221664,6269.0,Overall,0
Oriental Oak,0.694759912333134,0.5656123276561232,0.6235693848354793,6165.0,Overall,0
accuracy,0.7605958384823486,0.7605958384823486,0.7605958384823486,0.7605958384823486,Overall,0
macro avg,0.7811319194995271,0.7755131413281994,0.7752943663685556,29941.0,Overall,0
weighted avg,0.7619820329333625,0.7605958384823486,0.7579675232403912,29941.0,Overall,0
Conifer,0.921008753647353,0.9310344827586207,0.9259944818915238,14239.0,Conifer vs Broadleaf,0
Broadleaf,0.9199804432855281,0.9085056731310855,0.9142070529171221,12427.0,Conifer vs Broadleaf,0
accuracy,0.9205355133878347,0.9205355133878347,0.9205355133878347,0.9205355133878347,Conifer vs Broadleaf,0
macro avg,0.9204945984664406,0.9197700779448531,0.9201007674043229,26666.0,Conifer vs Broadleaf,0
weighted avg,0.9205295361844265,0.9205355133878347,0.9205012553159261,26666.0,Conifer vs Broadleaf,0
Pine,0.7977426636568848,0.8517715112075199,0.8238722461825387,4149.0,Conifer,0
Nut Pine,0.8443591258121678,0.733829568788501,0.7852238396045043,3896.0,Conifer,0
Larch,0.9218893585737916,0.9623944742900997,0.9417065615319629,5212.0,Conifer,0
accuracy,0.860601946141661,0.860601946141661,0.860601946141661,0.860601946141661,Conifer,0
macro avg,0.8546637160142815,0.8493318514287069,0.8502675491063352,13257.0,Conifer,0
weighted avg,0.8602507959993378,0.860601946141661,0.8588408106822879,13257.0,Conifer,0
Mongolian Oak,0.738048262255274,0.800230376830673,0.7678825201326386,6077.0,Broadleaf,0
Oriental Oak,0.7417570729631994,0.6689046614233647,0.7034496671373814,5213.0,Broadleaf,0
accuracy,0.7395925597874224,0.7395925597874224,0.7395925597874224,0.7395925597874224,Broadleaf,0
macro avg,0.7399026676092366,0.7345675191270189,0.73566609363501,11290.0,Broadleaf,0
weighted avg,0.739760753860271,0.7395925597874224,0.7381315491260598,11290.0,Broadleaf,0
Non-Forest,0.9641929499072356,0.9728566080119805,0.9685054043980619,5342.0,Overall,1
Pine,0.8465865507542828,0.7549019607843137,0.7981198023381946,4386.0,Overall,1
Nut Pine,0.7813299232736572,0.6414698162729658,0.7045257999423465,1905.0,Overall,1
Larch,0.7248177153659195,0.7868660216945177,0.7545684565645207,3411.0,Overall,1
